Attr 1,Attr 2
0.493693,0.230108
0.50481,0.234712
0.493323,0.245855
0.536404,0.386491
0.45477,0.256042
0.461875,0.28037
0.415236,0.260407
0.489028,0.280195
0.564457,0.322977
0.474345,0.22896
0.491065,0.23615
0.568415,0.367461
0.465704,0.285675
0.477906,0.275444
0.562282,0.372802
0.484541,0.243881
0.560045,0.366557
0.489727,0.251286
0.50945,0.27696
0.565588,0.140195
0.51969,0.309917
0.540353,0.398101
0.489015,0.278673
0.543152,0.323997
0.490112,0.296961
0.541855,0.350465
0.50549,0.277264
0.520924,0.358451
0.5015,0.300728
0.495061,0.259529
0.571858,0.404181
0.492115,0.273679
0.496512,0.231795
0.478771,0.2692
0.541054,0.363425
0.460509,0.308889
0.455308,0.265693
0.521427,0.329853
0.482231,0.351603
0.526744,0.332859
0.47623,0.297187
0.613357,0.3557
0.445596,0.218341
0.519631,0.329721
0.495002,0.267637
0.487433,0.279471
0.693472,0.344949
0.764716,0.429748
0.544466,0.409151
0.548468,0.369512
0.572293,0.399957
0.518031,0.34687
0.68644,0.275585
0.672741,0.273112
0.473357,0.330063
0.635324,0.270362
0.472093,0.294236
0.552068,0.266679
0.511937,0.312318
0.662404,0.291987
0.532202,0.346097
0.55656,0.330783
0.496831,0.277451
0.497866,0.296944
0.511406,0.307791
0.590371,0.26968
0.517553,0.3199
0.622578,0.299916
0.494281,0.325202
0.58924,0.26634
0.483288,0.326266
0.820417,1
0.829669,0.881622
0.528691,0.863729
0.498943,0.368619
0.608122,0.531272
0.469598,0.48864
0.643464,1
0.457881,0.366636
0.501596,0.300015
0.506234,0.564103
0.465594,0.306306
0.581993,0.355515
0.487222,0.264651
0.585328,0.320402
0.461348,0.284225
0.60154,0.320434
0.468118,0.273825
0.632919,0.273384
0.498374,0.284042
0.622134,0.337816
0.48355,0.279595
0.518521,0.332548
0.540816,0.263591
0.471564,0.256221
0.688947,0.248855
0.45938,0.297808
0.4754,0.253271
0.586939,0.373359
0.529853,0.285488
0.487963,0.299891
0.596681,0.320962
0.512022,0.27098
0.43912,0.254154
0.537945,0.361917
0.494639,0.272748
0.539457,0.308856
0.547679,0.33181
0.565692,0.335579
0.558654,0.338626
0.504137,0.272445
0.578338,0.29376
0.558588,0.340037
0.534256,0.270041
0.517829,0.290679
0.547893,0.32034
0.517124,0.326582
0.507253,0.319045
0.545718,0.336445
0.542064,0.315667
0.563413,0.292624
0.565016,0.345422
0.559266,0.324779
0.528077,0.274931
0.48166,0.317179
0.544651,0.334055
0.560708,0.306749
0.574869,0.298695
0.574617,0.279309
0.53662,0.277769
0.799295,0.461634
0.624917,0.415489
0.475737,0.21306
0.546818,0.316186
0.676144,0.4734
0.547701,0.342569
0.573878,0.315361
0.710371,0.184137
0.645114,0.436916
0.608982,0.315277
0.650802,0.42684
0.536707,0.270919
0.499445,0.222976
0.642053,0.446966
0.546054,0.257077
0.592621,0.287274
0.551657,0.267949
0.545213,0.236615
0.982395,0.210653
0.616961,0.314868
0.55695,0.263885
0.57949,0.306894
0.681673,0.335327
0.580452,0.300638
0.719519,0.313027
0.571331,0.347814
0.637969,0.395303
0.576809,0.314629
0.87564,0.199013
0.588128,0.336199
0.731135,0.384464
0.568824,0.2967
0.562815,0.277996
0.568159,0.324818
0.650893,0.358371
0.585879,0.280465
0.781186,0.184918
0.843155,0.247878
0.562543,0.252135
0.897378,0.473451
0.571354,0.372451
0.539857,0.303133
0.703036,0.310745
0.505799,0.276328
0.532952,0.300777
0.570692,0.271152
0.531309,0.278068
0.607403,0.314641
0.570072,0.309925
0.569637,0.332732
0.634328,0.332974
0.502873,0.255277
0.640321,0.289654
0.542136,0.270359
0.50648,0.276087
0.54816,0.376878
0.611988,0.310948
0.532373,0.335344
0.602449,0.378074
0.567414,0.337269
0.674272,0.309168
0.525413,0.327712
0.678801,0.284854
0.508592,0.300849
0.641897,0.271107
0.52625,0.324517
0.483892,0.270155
0.479238,0.27943
0.345732,0.315182
0.46607,0.264692
0.539245,0.368513
0.536023,0.355278
0.503853,0.344242
0.486889,0.303232
0.468914,0.259039
0.473572,0.294964
0.495033,0.321675
0.54411,0.376758
0.509044,0.287017
0.506837,0.309665
0.485999,0.320771
0.654565,0.242517
0.508639,0.342791
0.512381,0.302785
0.541281,0.343295
0.510235,0.381912
0.54074,0.259903
0.485956,0.246914
0.493,0.169039
0.49609,0.209815
0.477622,0.239787
0.519416,0.199363
0.479662,0.170365
0.516665,0.267338
0.526462,0.24807
0.469518,0.242212
0.475658,0.20548
0.535948,0.255211
